recommendation_id,elapsed_time,new_predicted_output,new_predicted_uncertainty,current_trained_hps,average_rmse,plasma_duration,precursor_dose_time,process_pressure,ALD_purge_time,plasma_pressure,RF_power_setpoint,plasma_prep_time,plasma_purge_time,H2_plasma_flow_rate,Ar_process_flow_rate,ALD_purge_flow_rate,ALD_prep_time,campaign_id
0t5t37dj0htnf000rfhyr549fr,9.920005686581135e-05,,,,,3868.448090537637,206.03392168827588,113.47864809960548,4695.659465455905,245.11479538175038,119.21301964756455,1314.4067644839358,4427.47074492091,34.53197177340226,40.19598377596586,10.243079664400678,964.1775432674532,0t5t37dhzxrwf0003v982kgb8r
0t5t3g88mxvmx000n6pkteg0wc,4.2400090023875237e-05,,,,,4099.244109883679,4181.333553830546,117.34634028363669,2261.5678772053484,27.31178188053143,26.808985114138732,4054.6590913937785,5008.521465678577,36.07146941513937,89.2020019975842,14.514454991132615,1385.2713350646231,0t5t37dhzxrwf0003v982kgb8r
0t5t3t9c19x1n00085fjcpsq2c,3.969995304942131e-05,,,,,792.9028402439976,1073.0467906414844,124.42478669545189,908.9839577463964,172.23117364795908,283.2360890539157,2580.007123450264,7930.486374193229,84.0467397920007,46.90889171391084,11.111155183800765,825.6085260289111,0t5t37dhzxrwf0003v982kgb8r
0t5t413frhtnd000y397vt7kpr,4.419987089931965e-05,,,,,1116.953249541085,4331.733821768382,261.8396890550363,116.17968536187651,250.4378861241566,266.52438782300896,3949.9431284385846,3787.5260353893486,76.70756997251746,56.050826975833445,3.340811400486007,2599.79899493438,0t5t37dhzxrwf0003v982kgb8r
0t5t48a5g5yxq0000jxs9ne4ar,3.66999302059412e-05,,,,,2354.3649474647927,4066.7268215532363,145.0028909391075,2008.6354634277707,277.2380235892422,245.77920570559726,551.047535520645,3738.315041505119,92.19558346793637,83.84441075921595,6.232437148918647,1731.9334213684533,0t5t37dhzxrwf0003v982kgb8r
0t5t4fp90nxck0000kr7603wb4,4.910002462565899e-05,,,,,2384.381345977529,4983.3696846269695,246.4500695137419,628.2015026642679,224.42135003725645,288.4384119054529,4391.858411930153,6360.419207919193,99.52781511323766,89.03172565114309,1.5862337866320773,995.3939904975365,0t5t37dhzxrwf0003v982kgb8r
0t5t4rkcwxwf1000xgbsb1ercg,6.019999273121357e-05,,,,,535.8965893611515,4821.5066309194735,38.697845614400556,410.620262280881,209.81050651290136,77.01202923788554,1965.2437919017946,8712.044623052154,46.14250376656743,27.462101498434222,19.200041143667708,725.5712512922498,0t5t37dhzxrwf0003v982kgb8r
0t5t50dc39v5z0003kj10hm1br,3.829994238913059e-05,,,,,299.85206176971735,1762.7740095595316,199.01888529530092,1982.5722178026153,245.07067781961746,248.50284607665583,4937.87258478161,8786.639183837906,80.26147575686922,51.79208637875583,14.11572711918352,1080.8405430487367,0t5t37dhzxrwf0003v982kgb8r
0t5t59g1nhy7v000vmnw1cyzdw,3.700004890561104e-05,,,,,4921.74389934628,2591.5942781649746,101.67775387458832,3321.503157288029,261.99190810779794,51.44500208826631,1158.482060065169,8378.915981397122,44.50995598850536,43.998728960548846,2.644954054577785,258.18911987498484,0t5t37dhzxrwf0003v982kgb8r
0t5t5kt07sr6x00007k5144gbc,6.560003384947777e-05,,,,,4520.5495377270445,3459.492103072382,253.50930086713677,40.44996116039836,125.02100765706392,159.63317731793524,2154.8363666600717,1594.4954534922688,66.13622303293972,85.6126426344629,9.072219759875127,3391.0704518689677,0t5t37dhzxrwf0003v982kgb8r
